text,label
생각보다 두꺼워서 안에 이너로는 별로인것 같네요,1
후드집업이 꽤 두께가 있어서 쌀쌀할때 입기 좋아용 브라운 색도 너무 예쁘고 가을에 입으면 예쁠 것 깉아요,1
강추,0
주머니 까끌거려요,1
"편하고 가을 색상이라 분위기 있어서 좋아요 
잘 신을게요",1
왜안사,0
색이 예쁘고 두꺼워서 제품질도 좋아요. 추천합니다,1
칼배송 굿,0
패딩에서 이게 새상품냄새인지 아니면 제조를 22년에 해서 오래되서 그런건지  이상한 비린내가 나요.,1
일단 디자인부터 너무 이쁘고 질감도 부드러워요 근데 저한텐 좀 컸어요 평소에 박시하게 입긴하는데도 좀 크게느껴지더라고요 한치수 작은것도 괜찮을것같더라고요,1
냄새 좀 나는거 좀 그렇구 한사이즈 다운 추천이요 개조아요!,1
"일단 두껍고 염색냄새가 좀 있습니다
기장감도 좀 모호하고 통이랑 허리도 크니
저랑 비슷한분은 한치수작게 사시길",1
회색 검정색 낡을때마다 다시사고있어요 좋아요,0
귀엽고 좋네요! 레오파드 포인트도 너무 귀여워요!,0
"너무 급해서 그냥 입어요
민트는 완전 촌스런 싼색임
민트는 작업복으로 막입을 예정
챙피함",0
신어보 커요,1
생각한 핏이랑 똑같구 옷도 튼튼하구 넘 예뻐용 올 가을 겨울 내년 봄 등등 입을 수 있을 때까지 잘 입을 거 같습니당~,1
구김 진해요,1
기모 너무 너무 부드라움 다른색으로 추가 구매예정,0
사이즈도 좋네요 가격도 좋고 잘산듯 하네요. 추천 드립니다.,1
하체가 발달한 사람에게 역시 테이퍼드가 최고입니다,1
사진보다 워싱이 없어서 개체차이지만 사진빨인가같네요,1
포장 빨라요,0
옷 이쁘고 역시 무난하게 희뚜루마뚜루 잘 입을것 같아요,1
"내돈 내산 솔직 후기

첫째 딸랭이 사줬는데 엄청 좋아하네요 
진짜 이뻐요 ㅎㅎ 기모라서 따뜻하고 
핏도 예뻐서 딸아이가 아주 만족해요 
s사이즈 샀는데 딱 예쁘게 오버핏이에요 
진짜 이쁜 오버핏 사이즈에요 
158 53 정도되면 s사이즈 딱 예쁜 핏입니다",1
전투용으로 입는거 추천드려요 가슴단면과 어깨부분이 많이 좁게 느껴지네요,1
너무 예쁘고 마감도 다 잘 되어있어요 색깔도 너무 마음에 들어요 !,1
"중학생아들에게 사이즈가 딱좋네요
깃도 이쁘네요 만족합니다",1
택배 별로,0
단추 까끌거려요,1
핏이딱 맞아서 맘에 들었어요. 색깔이 딱 원하던색깔이에요,1
길네 작아요,1
컬러가 화면과 크게 다르지 않아 만족합니다. GOOD,1
별로,0
굿굿,0
두께 연해요,1
계절 진해요,1
박스 좋음,0
한달 지나도 짱짱하고 무게감 너무 좋아요!!색도 너무 이뻐요,1
색감 이쁘고 기장도 적당하고 가격도 착해서 좋아요,1
"역시 배송은 익일배송으로 받았고
세일기간에 가성비 좋게 잘산것 같아요
요새 너무 추운데 잘 입고다니려구요",1
처음에는 너무 파란가? 싶었지만 어떨땐 또 괜찮아보이고... 확실히 청바지랑은 완전 잘 어울려요! 착화감은 나쁘지 않아요,1
푸퍼자켓 세일할때 싸게 구입해서 좋네요. 마음에 듭니다. ㅎㅎ,1
"제멋 특유의 탄탄한 소재가 마음이 들어요
여름에 더위를 많이 타는 분은 감안해서 구매하세요~_~",1
굽 부드러워요,1
굿굿,0
남자분 중에 173에 68kg 정도 나가는데 s입으면  허리 터집니다.,1
"레이어드용으로 입기엔 괜찮네요 후기가 안좋아서 반품하려했는데 
디자인이 이뻐서 세일해서 가성비대비 입으려고요",1
도착 느림,0
박스 좋음,0
편하게 입을 수 있어서 좋은데 밝은 색깔이라 오염에 취약해요.,1
편하게 입기 아주 좋고 무엇보다 옷이 가벼워서 좋아요,0
주문 별로,0
편하구 좋아용 근데 때가 잘 타는 듯해서 조심히 신으려구용,0
밴딩에 스트라이프로 포인트도 있고 무난하게 입기 좋은듯요,0
배송비 굿,0
출근할 때 매일 입고 있습니다. 두께도 길이도 적당하고 좋습니다,1
옷 스타일링이나 지금 입기에는 좋은데 옷 받은날에 바로 털빠지기 시작함 ;;,1
제신체 스펙으로 봤을때 딱 크롭하게 떨어집니다 ,0
하나만 걸쳐줘도 이쁘게 입을 수 있어서 좋아요! 기모여서 지금같은 날씨에도 따뜻하게 입었습니다.,1
바닥이 다른 신발에 비해 얇아서 바닥이 살짝씩 느꺼지는 매력이있네여 딱히 신경 쓰일 정도는 아니었어요 색감이 예쁘고 무슨 옷이든 다 잘 어울려서 코디하기 쉬워요👍👍,1
일단 너무 이쁘구요 싼 값에 힙한 느낌 바로 나버립니다,0
아주 두껍지 않아서 간절기까지 입을 수 있는 좋은 자켓입니다.,1
"두께 도톰하구요 색이 네이비색이라 이뻐요
제 키 정도에는 사이즈 M이 적당한거같아요",1
오빠 몰래 옷 훔쳐입다가 옷에 음식 흘려서 다시 빨았지만 소생 불가로 인해 재구매하였습니당…옷은 예쁜데 옛날꺼랑 핏감이 살짝 달러진것 같더라구요 색깔도 더 진해지고 모자에 있는 와펜?도 없어져서 살짝 아쉽습니당ㅜㅜ그래도 국밥후드티답게 편하게 입기 좋아용~!!,1
택배 느림,0
포장 굿,0
"사이즈도딱좋고 길이도적당하고좋네요
데일리청바지로좋아요",1
일단 예쁨. 소매부분도 짱짱하고 맘에 듦. 깔끔하게 배달왔습니다. 근데 사이즈가 생각보다 커서 팔 쫙 피면 긴팔원숭이임ㅋㅋ,1
허리 뒤에 헐렁하게 너무남음 진짜 이상함 다른브랜드꺼 시켜서 입는중,1
"좋아하는 아티스트가 입어서 따라 사봤는데 너무 마음에 들어요!👽👍🏻
사이즈 넉넉해서 아무 티셔츠에 걸쳐 입어도 예뻐요",1
"색깔이 생각보다는 연한 느낌이긴한데 귀여워용 ,,맘에듦",1
"이뻐요.
두께감도 적당하고 재질이 너무 맘에 들어요.
사이즈도 딱 맞아요
깔끔해서 이쁘게 잘 입을게요.",1
아이가 좋아하네요..무게는 조금 있지만 발편하다고 합니다~~^^,1
배송 빨라요,0
"생각보다 짧아서 한 사이즈 큰 걸로 살걸 약간 후회합니다
근데 예쁘긴해요 귀찮을 때 패딩 안에 반팔 입는데 요즘은 많이 추워져서 그건 안될 것 같고 전 후드티나 맨투맨 하나 입고 입습니다. 생각보다 얇아서 별로 안 따뜻할 줄 알았는데 확실히 따뜻하긴해요 주머니에 손 넣었는데 확 따뜻해짐",1
예쁜 슬랙스입니다,0
"생각보다 더 슬랙스 같고, 생각보다 통이 커요! 허리사이즈는 딱 맞는데 기장감과 통이 널널해서 완전 편안히 입을 수 있을 듯 하네요",1
주문 빨라요,0
기모가 안에 입은 옷에 다 묻어나와요 바지에도 기모가 붙어서 무슨 북극곰 된 줄 알았어요 돌돌이 하고 세탁기 돌려도 계속 나와요,1
180/ 80~83왔다갔다 합니다 평소105 사이즈 입습니다. Xxl 넣입빼입 다 맛있게 맞고요 여름빼고 다 맛있게 먹을것 같습니다 잘먹겠습니다,1
"턱이 잡혀 있어서 다리도 편하고 입었을 때 예쁜거 같아요.
허리가 살짝 작게 나온거 같아서 한사이즈업이 맞을거 같아요.",1
핏이 너무너무 예쁘고 마음에 들어요. 친구들이 예쁘대요,1
"핏도 생각한대로 이쁘고 색상도 딱이네요
다른 색상도 구매 예정입니다",1
"신발 아웃솔 전체적으로 구겨진 자국, 뜯어진 흔적들이 있으나 당장 신을 신발이 필요해서 그냥 신습니다. 그리고 디자인때문에 구매한거라 그냥 신어도 될 것 같네요. 로고부분 스티커 떠있다는 후기가 많아서 걱정했는데 아니나 다를까 떠있어요. 꼼꼼하게 확인하고 손으로 꾹꾹 눌러서 붙였더니 붙네요. 그나마 다행인건 로고 AS가 된다는 점일까요...
신발은 6cm 키높이라고는 하는데 신으면 푹 꺼져서 체감은 4~5정도 되는 것 같습니다. 생각보다 청키형태 치고는 가벼워서 신기 좋은 것 같아요.",1
탄탄한 재질의 옷이에요 헨리넥 디자인이라 기본템으로 좋습니다,1
마감 까끌거려요,1
두께도 적당하고 품질이 좋습니다 세탁후 줄어듬도 없네요,1
"가성비가 뛰어난 제품은 아닙니다.

한개정도 있으면 여러용도로 입을수있지않을까싶네요",1
"색도 정말 괜찮고 신축성도 좋습니다
다만 허리사이즈가 살짝 평균보다 작아 참고하시는게 좋아요",1
딱 원하던 핏이에용 잘 입고다닐거같아요 이뻐요,1
다좋은데 레이어드 할거면 라지 이너로 할거면 엑스라지가 좋아요 라지는 개인적으로 작음요,0
너무 가볍고 편안하게 입을수 있어서 좋은것 같습니다.,1
어깨 부드러워요,1
"발볼이 좁게나와서 반치수 업해야함. 발바닥이 얇기땜에 아치가 무너진 사람한테는 비추천함. 평소에쿠션있는거 신다가 신으니깐 발목이 좀 아팠음. 보기엔 예쁜데 평발끼있는 사람은 신지마세요. 
스웨이드라 젖으면 얼룩생김. 눈오는 날은 절대못신음.",1
오버 진해요,1
"3번째 구매에요. 옷이 이쁜데 나올때마다 사이즈가 다르고 옷감의 재질이 달라요 ㅜㅜ 
첫번째 산옷을 닳도록 입어서 똑같은거 다시 샀는데 길이가 엄청 짧고 옷감이 뻣뻣해서 애가 안입었어요. 반품이나 교환을 했어야했는데 같은옷 같은사이즈라 오자마자 빨아버려서 그냥 안입고 고이 모셔놨어요 ㅜㅜ
계속 처음 산것만 끝단이 헤지도록 입어서 똑같은거 다시 샀는데 이번거도 또 사이즈가 제각각이네요. 
그래도 이번엔 입어보고 이정도는 괜찮을거 같아서 세탁했어요. 사실 사이즈교환도 한번 했습니다 ㅠㅠ
짜증나지만 애가 맘에 들어해서 자주 입으니 어쩔수없이 다시 사게되네요. 색상은 예뻐요.
애증의 옷입니다 ㅎㅎ",1
보들 작아요,1
약간 도톰합니다 편하고 이쁘고  좋습니다 잘입는중,0
딸이 이 신발 너무 좋아해서 벌써 3개째입니다. 키높이에 착화감 편하고 디자인도 아무 옷에나 찰떡이라 너무 좋아해요.,1
두꺼운 편이고 정사이즈예요 저렴한 가격에 잘 산 것 같습니다~,1
슬랙스가 예쁘게 떨어져서 이리저리 잘 입고 다녀요!,0
칼배송 느림,0
칼발이라 50이랑 55 고민하다  50샀는데 딱맞아요,0
마감 딱 맞아요,1
"재질도 좋고 통도 좋은데 기장은 수선해야 할거 같네요
봄 여름 가을용 정도의 두께입니다",1
살짝 얇긴한데 기장도 딱좋고 디자인도 예뻐요 꾸밀때 입는 옷으로 딱좋은거같습니다 ㅊㅊ,1
"옷이 이쁘고 편하게 입기 좋네요
빠른 배송 감사합니다",0
"걍 그럼 싸니까 뭐 그렇죠 보세느낌
대충 입겠습니다.",1
"부담없이  입을수 있어서 좋아요
12일날 배송이라고 기대 안했는데 오늘 받아서
너무 좋네요",1
"착한가격이라 좋았고...음..다른건..?
편안하게 이너로..",1
이염은 되는데 그래도 편하고 좋아요 잘 샀다고 생각됩니다,1
기본이 탄탄한 슬랙스 좋아요 아주 좋고 또 살 의향있습니다,1
입었을때 핏이 더 이뻐요~  성장기 중학생아들 옷이라 조금 큰거로 주문했어요~,1
진짜 상품 괜찮은데 사이즈가 이상한게와서 진짜 실망입니다 사고 무조건 사이즈확아하세요 ㅠㅠ,1
색도 맘에들고 착용감도 좋아요. 길이도 만족스러워요.,1
진짜보는사람마다 이쁘다고 해주고 색도 완전 정석 브라운 !!!! 너무잘입을것같아여ㅠㅠㅜㅜ 꼭사세오꼭 !!!!,0
색이 네이비라 어느 바지에 매치하기 좋은 것 같아요. 그리고 계속 신다보니 좀 적응되는 느낌쓰??,0
사이즈 딱 알맞고 핏도 너무 좋아요! 오프라인에서 사려니까 다 품절이길래 온라인보는데 무신사에서 할인도 하고있어서 더 좋았어요!,1
유투버 추천 보고 구입했어요 이 가격에 이 품질이라니 놀랍네요 평소 105 사이즈 입는데 XXL 잘 맞습니다,1
아주좋아요 잘입을것 같아요 가격 대비에 아주 좋아요,1
"블랩데이때 엄청싸게 구매했습니다.
물빠짐장난 없네요.
전화로 뭐라할려다 너무싸게사서 그냥 마는데
양말에 물다들고 장난없네요.",1
배송이 너무늦어 필요할때 못입음 예약배송일두 어김 ㅜ.ㅜ,0
도착 느림,0
블랙 그레이 두개 같은 사이즈로 구매했는데 그레이보다 블랙이 허리가 더 작아요ㅋㅋ입기 조금 힘들지만 이뻐요 마음에 들어요 두께감도 적당합니다,1
"한 번 오배송 되어서 재배송 요청 했더니 또 오배송이네요 ㅋㅋ 돈 내고 산 건데 정말 기분이 나쁘네요
별 하나 주기도 아깝습니다",0
도착 느림,0
블프해서 구입함. 오래된재고옷왔음. 반품귀찮아서입음,1
박스 빨라요,0
"초6,키157정도,58키로 통통한 아이,245 딱 맞네요. 그렇다고 250사면 깔창넣어도 불편할까봐 그냥 신습니다. 6개월정도 신다가 한치수 올려서 다시 사야할듯. 검은색,남색의 어두운 옷만 거의 입어서 흰색운동화 신으니 멋스러워요. 어글리슈즈가 밑창이 두꺼워서 키높이 효과도 있고. 적당히 푹신하고 스타일도 좋고해서 초등내내 양키스만 신고 있어요.",1
부들뷰들하고 좋아요 겨울에 잘 입을 것 같아요 다음에 또 사려구요,1
택배 빨라요,0
배송 별로,0
삼바 보다 훨씬 푹신푹신하고 신발이 따듯해요 허허 할인할 때 저렴하게 잘 샀답니다 기뻐욤,0
컬러이쁘고 후드모자 목부분이 아주 쫀쫀합니다 핏이살아있네요,1
일본에서 입으려고 샀는데 예쁩니다. 추천해요. 막입기 좋아요,0
검정색 넘 흔해서 샀는데 매우만족입니다 앵간하면 다 이뻐요,0
가격대비 원단감이나 핏도 좋고 착용감도 편해서 좋아요 ㅎ,1
"사진 그대로 이쁘네요
아들 사줬는데 너무 좋아합니다",1
소음 진해요,1
"1. 사이즈
제 스펙에 바지 맞는 거 찾기 힘든데 허리도 딱 맞고 슬랙스 특유의 핏을 살려줄 수 있는 기장감이라 좋았어요
총기장이 조금 길긴 하지만 핏 살려입으시려면 뒷부분 접거나 스트릿한 느낌으로 끌고 다녀도 괜찮아요
수선 안 해도 예쁘게 입으실 수 있으니 제 스펙이신 분들에게 이 바지 추천드립니다

2. 핏
슬랙스답게 마르신 분들에게는 차르르핏으로 툭 떨어지는 게 슬림한 체형 살리기에 좋고, 근육 붙으신 분들에게는 턱이 잡혀 있기 때문에 딱 여자분들이 좋아할 만한 체형으로 보완이 됩니다

3. 컬러감, 소재
블랙 중에 블루 계열이나 노란빛 도는 블랙이 아니고 정석 블랙이라 어디에도 매치하기 좋습니다
그리고 무엇보다도 소재가 좋습니다 자세히 보면 코듀로이처럼 직물이 짜져있어서 부들하면서도 슬랙스 특유의 소재라 4계절 모두 착용 가능합니다

4. 가격대
이 핏에 이 가격이면 안 사고 못 배깁니다 당장 사세요",1
재질 까끌거려요,1
환불,0
무신사 스탠다드 세미 와이드핏 슬랙스는 무조건 사야하는 정말 기본템. 적당한 신축성이 너무 편안해서 다른색도 추가 구매 예정.,1
사진 그대로의 예쁜 연청 와이드 데님! 데일리로 강추,1
작년에 그레이 샀는데 너무 좋아서 블랙도 추가했습니다,0
맞네 부드러워요,1
"무난무난 가격대비 질  좋아요
배송도 빨랐습니다",1
후드 집업에 만족해서 샀는데 맨투맨은 영 아니네요,0
크기 연해요,1
제품은 좋은데 주머니에서 모래같은게 떨어지네요,1
사이즈가 전체적으로 슬림 한데 밑에 부분 길이는 길어서 처음에 당황했어요. 그래도 입고 다니니까 좋더라고요. 하지만 재구매 의사는... 글쎄...,1
재구매햇습니다. 일전에는 라이트 그래이외 카키색을 구매햇고 이번에는 블랙과 멜란지 그레이 구매햇는데 다른 컬러는 괜찮은데 멜란지 그레이에서는 마구마구 흰색 먼지가 떨어집니다. 바지에도 묻어나고 온통 제주변이 하얘져서 민망할정도라 기모가 빵빵해서 그런가 싶어서 한번 세탁햇는데 그날 세탁기안에도 먼지 파티가 벌어졋습니다. 인형이 하나 터졋나 싶을정도로 기모가 떨어져나왓지만 이젠 괜찮겟지 싶엇는데 오늘 입고 나와보니 또 바지에 잔뜩 묻어잇네요..... 이렇게 심한적은 처음입니다. 블랙은 어느정도 만족해서 별두개라도 줫지만 멜란지그레이는 정말 먼지 생성기라 세탁하기도 두려울정도네요. 추천하고싶지않아요. 다만 기모가 빵빵하여 한겨울 맨투맨으로는 적당하니 다른색깔 구매하세요.. 어두운색으로......,1
색도 생각과 그대로고 핏도 잘 나와요. 근데 기장이 좀 많이 길어요,1
사이즈도 크고 엄청 벌룬이긴 한데 나름 잘 코디하면 괜찮아요,1
짱짱하니 이너로 입기 너무 좋은거같습니다. 옷 자체가 탄탄해가 변형도 많이 없을거같아요,1
탄탄 커요,1
옷도 좋고 다 좋은데 교환신청했는데 2~3주째 안가져가도라고요 교환비도 제가 다 부담했는데 오래기다리게 되서 아쉽네요 옷은 진짜 이뻐요,1
안에 반팔처럼 얇은티만 입어야 입을수있네요 자크가 말썽이긴한데 싸게 사고 그냥 입으랴고요,1
블프 때 5만원대에 구매했어요 ㅎㅎ 화면보다 실물 색감이 훨씬 예쁜 듯,1
기모고 잇고 되게 뷰그러워서 드좋고 데일리로 입기 좋어요,0
보풀 까끌거려요,1
"색감 매우 예쁘고 보드랍고 핏도 좋아요. 조금 길긴 하지만 건조기 러버로서 건조기 돌려버리니까 살짝 줄어들어 만족스런 기장이 되었어요. 아, 전체적으로 마감도 좋은데 허리 밴딩이 굉장히 짱짱하게 느껴져요 ! 제가 헐렁하게 입는 편이라 더 그런 거 같아요. 따숩고 마음에 들어서 겨울 내내 잘 입을 예정입니다 !",1
좋습니다 추천합니다 깔끔하고 예뻐요 자주 입을 거 같아요,0
핏도 너무 좋고 옷도 너무 이뻐요 구매 추천드립니다^^,1
"빨강이랑 고민하다 결국은 네이비로.
가을, 겨울 잘 신을듯 합니다.",1
옷은 톡톡하고 좋은데 세탁을 해도 검은 게 묻어나와요. 같이 입은 아이보리 바지에 다 묻어서 재구입은 못하겠네요.,1
쪼이 좋아요,1
저렴하고 옷 재질도 도톰해서 오래 잘입을것 같아요.,1
색깔도 이쁘고 데일리하게 신고다니기 좋을 거 같아용ㅎ ㅎ,0
"매장에서 입어봤었는데 세일하길래 바로 구매했어요.
디자인 이쁘고 편하게 입을수 있을것 같아요",0
무난하게 입기 좋고 뒤에 프린팅이 이쁜것 같아요,0
불편 작아요,1
예쁜 헨리넥,0
무게 까끌거려요,1
"230 정사이즈 칼발에, 225까지도 신는데 
이건235도 들어가는거 자체가 빡셈. 후기에 워낙 작게 나왔다해서, 칼발이라 반업했는데 후회중임. 반업리 아니라 한업(10mm업) 해야함.

10mm(한사이즈)업은해야 일반반은 그나마 발꼬랑 들어갈듯. 사이즈 왜이렇게 나온지 진짜 이해안감. 막상 우겨넣으면 안쪽 사이즈는 자체는 맞는데 들어갈때 개고생임. 너무 빡빡하고ㅏ 입구가 개작고 벌어지지도않음. 그리고 뒤에 엄청쓸리고 조임.
동생이 같은제품 매장에서 직접 신고 10mm(한사이즈업)했다길래 뭔 10미리나 업하냐 했는데 그럴만한 이유가 있었음. 그나마 별점 하나 얹어준 이유는 그래도 신으면 이쁘고 키커보이긴함
컨버스 반스에 이은 예쁜 00O 3대에 넣어도됨.ㅡ",1
너무 별로에요 너무 별로에요 너무 별로에요 너무 별로에용 ㅎ!,0
어깨가 넓고 각지지 않은분은 비추 드리고 싶어요 핏이 안어울리고 답답해 보이는 느낌이 들어요..,1
"겨울 원단이라 그런지 두께감이 탄탄하고 보온성도 좋아서 한겨울까지 무난하게 입을 수 있습니다. 더블턱 디자인 덕분에 와이드 핏이 예쁘게 퍼지고, 다리 라인이 자연스럽게 떨어져 핏 만족도가 높아요.

블랙 컬러도 정갈하게 나와서 어떤 상의와도 잘 어울리고, 허리와 힙 부분의 착용감도 편합니다. 전체적인 퀄리티가 가격 대비 좋고, 겨울 슬랙스 찾는 분들에게 추천할 만한 제품입니다.",1
배송도 빠르고 무엇보다 너무 제품이 마음에 들어서 추가 구매 의사도 있네요,1
길이가 살짝 남고 칼발이라 발볼이랑 발등 압박은 딱히 잘 모르겠답니다,1
#후드,0
"유니클로 흰티
무탠다드 블랙 세미와이드 슬랙스",0
후기도 많고 인기 많길래 주문해봤는데 이딴걸 보내네 피같은게 뭍어서 얼룩도 있음,0
재질  괜찮은데 사이즈가 생각보다 작아서 놀랬어요 내복 한치수 올리는것도 괜찮을듯,1
"무신사 체험단에 당첨되서 글 적어봅니다
살짝 뻣뻣하고 러프?한 질감에 밑단으로 내려갈수록
조금씩 좁아지는 크롭한 핏이 이쁜 바지에요
완전 블랙은 아니고 아주 어두운 회색 정도 되는것 같아요 
길이가 조금 짧을것 같아서 28사이즈 3cm 기장추가 버전을 선택했는데도 살짝 짧게 느껴지는 편이에요
제 스펙은 179/62에 다리가 살짝 긴 편이에요
그래도 발목까지 오는 부츠랑 같이 매치하면 이쁠것 같네요
원단이 뻣뻣하고 각 잡힌걸 좋아하시는 분들에게 추천해드리고 싶은 바지네요 이상입니다",1
"너무너무 이쁘고여! 교복위에 입을려고 샀는데 
너무 이뻐여!!!!!! 대신 팔 길이가 좀 길었어요 ㅜ",0
전체적으로 봤을 때 좀 더 여유로운 실루엣이면 좋을거 같습니다,0
"옷은 이쁩니다
근데 그게 다네요
몇번을 세탁해도 털이 계속 빠집니다
특히 회색?? 저 색은 비추입니다
지금까지도 빠지네요",1
착용핏이  멋스럽네요.  디자인도 이뻐요.  겨드랑이 부분이  조금 불편해서 좀 아쉽긴 하네요.,1
"디자인 유치하고 귀여움
이런 순위권에 있는데 독특한 옷들은 길에서 같은 옷 마주칠까봐 구매하기 망설여짐.
아니나다를까 옷입고 나갔는데 바로 마주쳐버림......
웃긴게 상대방도 봤는지 눈마주침
서로 민망한 상황됨",0
생각보다 두껍고 큼 완전 겨울용 디자인은 완전 이쁨,1
"셔츠에 넣입해서 하루 종일 입어봤는데, 더블턱 덕분에 허벅지 볼륨이 자연스럽게 잡히고 와이드 실루엣이 깔끔하게 떨어져서 비율이 좋아 보였습니다😁 원단이 부드러워서 걸을 때 다리에 닿아도 따가운 느낌이 전혀 없었고, 발등에 살짝 닿는 기장이라서 요즘 무드(?)로 연출하기에도 좋았어요.
블랙 컬러 특성상 구두나 스니커즈 모두 잘 어울려 출근이나 등교, 약속까지 하나로 해결 가능해서 좋았고, 세탁 후에도 구김이 적고 형태가 잘 유지돼 단정함이 유지된 점이 특히나 만족스러웠습니다!
같은 패턴에 계절 원단 옵션이 있어서 사계절 내내 동일한 핏으로 돌려 입기 좋은 점 또한 마음에 듭니다! 강추!!👍",1
"재질 정말 좋아요 부들부들 합니다 
",1
기사 별로,0
귀여운데 안에 털이 엄청 빠져서 옷에 붙어요ㅜ 그것말곤 좋어여,1
가격에 비해 괜찮아요 어디 긁혔는데 실밥이 바로 올라와서 좀 아쉬워요 ㅠ,1
도착 굿,0
"털이 진짜 많아 빠지긴 하네요..
그리고 조금 길고 벙벙해서 한사이즈 작은 거 살걸 후회했어요ㅜㅜ",1
"귀여워용 길 가다가 똑같은거 입은 사람들이
많지만 귀여요웡",0
"따뜻하고, 너무 가볍고 색도 이뻐요.
고1아들이 검은색만 입었었는데 이 패딩 사주니 이쁘다며 잘입네요.",1
"깔끔하고 세미와이드로 핏도 좋습니다.
유명하잖아요",1
교환할려고 전화했는데 MLB측에서는 택제거후 쓴 흔적없고 택가지고 있으면 교환 가능할 수 도 있다고 하셨는데..무신사에서는 얄짤없이 안된다고하네요..참고하셔요,1
